resolution,comparison,metric,difference,relative (%),95% CI low,95% CI high,bootstrap p,CI excludes 0
daily,Hybrid TFT-MODFLOW - TFT (no MODFLOW),RMSE (ft),-0.00013727185581024343,-1.1005597147226933,-0.0005069263376874323,0.00018312620469293996,0.4508,False
daily,Hybrid TFT-MODFLOW - TFT (no MODFLOW),MAE (ft),-3.791012998740663e-05,-0.40387308897574087,-0.00032585670355827167,0.00021781040999711544,0.7914,False
daily,Hybrid TFT-MODFLOW - Persistence,RMSE (ft),-0.001187989159202438,-8.78454329136183,-0.001946757025235749,-0.0006052342578629335,0.0008,True
daily,Hybrid TFT-MODFLOW - Persistence,MAE (ft),-0.0002158726453876849,-2.25699447160107,-0.0008366001791703261,0.0002515834258024412,0.4268,False
monthly,Hybrid TFT-MODFLOW - TFT (no MODFLOW),RMSE (ft),0.0006974680892681026,26.52182036730973,-0.00030387486483731617,0.001427691128662598,0.1154,False
monthly,Hybrid TFT-MODFLOW - TFT (no MODFLOW),MAE (ft),0.0005105171622033682,24.83337408160967,-0.00042966344516384887,0.0011881696418873766,0.227,False
