block (days),RMSE diff 95% CI low,RMSE diff 95% CI high,bootstrap p
7,-0.00045000273621077276,0.00021747852317495925,0.413
14,-0.0004900988468550512,0.00018972632494171284,0.425
30,-0.0005143015167855226,0.00018312620469293996,0.4525
60,-0.0004559519723770568,0.00018618946115862378,0.408
90,-0.00037143150709384654,0.00013577881251627903,0.3075
