Sub-period,Stress periods,Start,End,Storage In,Constant Head In,Wells In,Recharge In,Storage Out,Constant Head Out,Wells Out,Recharge Out,Total In,Total Out,In - Out,Storage Change (Out-In),Mean % Discrepancy,Max |% Discrepancy|
2015-2021 (baseline decline),84,2015-01-04,2021-12-01,213.26811,0.5598262,0.0,64.79781,0.0,216.00758,61.710503,0.0,278.62576,277.71808,0.9076959,-213.26811,0.33238092,1.149999976158142
2022-2023 (extreme drawdown),24,2022-01-01,2023-12-01,221.53491,0.0,0.0,70.88737,0.0,229.64812,61.7105,0.0,292.42227,291.35864,1.0636578,-221.53491,0.37291667,0.9300000071525574
2024-2025 (partial recovery),24,2024-01-01,2025-12-01,220.16174,0.0,0.0,45.9555,0.0,203.40411,61.7105,0.0,266.11722,265.1146,1.0026264,-220.16174,0.39041665,1.090000033378601
Full record (2015-2025),132,2015-01-04,2025-12-01,216.02457,0.35625303,0.0,62.47913,0.0,216.19614,61.710503,0.0,278.85995,277.90662,0.9533127,-216.02457,0.35030305,1.149999976158142
