block (days),RMSE diff 95% CI low,RMSE diff 95% CI high,bootstrap p
7,-0.0006043548882637285,1.5629420014454215e-05,0.043
14,-0.0005924561881544975,5.467562206996826e-05,0.051
30,-0.0005658593680643294,0.00010122446083771993,0.0575
60,-0.000573615351007849,0.00015929543252034796,0.0885
90,-0.0005776346716103627,0.0002019031207547314,0.113
