split,n,RMSE (ft),MAE (ft),Bias (ft),NSE,r
test,24,0.3278935676665481,0.24720131475252907,0.21359977229435265,-3.498916641122385,-0.957439361657031
train,84,0.22353395547452556,0.19126751314941767,0.007265330020254555,0.7853995240565883,0.9123199788338251
val,24,0.09647940823144255,0.08224515749114047,-0.08066939723242032,0.5617781781882942,0.9916576045972125
all periods,132,0.23029959550949028,0.18161504877575116,0.028792550933240593,0.8370819605163355,0.9163540277909075
