model,split,n,RMSE,MAE,R2,NSE
persistence,val,730,0.017116976005705786,0.012205479452054703,0.9863963767477244,0.9863963767477244
persistence,test,712,0.013523630310646113,0.009564606741572957,0.9918998087330727,0.9918998087330727
seasonal_persistence_lag365,val,659,0.26205977692682525,0.2596825838846737,-2.0341924127801994,-2.0341924127801994
seasonal_persistence_lag365,test,712,0.2056121914759717,0.16757022471910032,-0.872433564194349,-0.872433564194349
AR(1),val,730,0.017143100057621954,0.012405230674338161,0.9863548211653516,0.9863548211653516
AR(1),test,712,0.013504468248700165,0.009777170680914209,0.991922747307666,0.991922747307666
AR(7),val,730,0.015333417981954034,0.011345565828419465,0.9890836246261898,0.9890836246261898
AR(7),test,712,0.012655337951468965,0.009385571011792344,0.992906571624705,0.992906571624705
